Date,Oil_Price
2018-02-28,66.08
2018-03-01,64.23
2018-03-02,64.26
2018-03-05,65.78
2018-03-06,65.67
2018-03-07,65.09
2018-03-08,63.87
2018-03-09,65.19
2018-03-12,64.53
2018-03-13,64.20
2018-03-14,63.61
2018-03-15,63.67
2018-03-16,64.68
2018-03-19,64.82
2018-03-20,66.00
2018-03-21,68.15
2018-03-22,68.98
2018-03-23,69.03
2018-03-26,68.81
2018-03-27,68.63
2018-03-28,68.13
2018-03-29,69.02
2018-03-30,#N/A
2018-04-02,69.02
2018-04-02,#N/A
2018-04-03,69.02
2018-04-04,66.04
2018-04-05,66.54
2018-04-06,66.51
2018-04-09,68.19
2018-04-10,70.67
2018-04-11,72.74
2018-04-12,71.44
2018-04-13,73.18
2018-04-16,73.18
2018-04-16,72.05
2018-04-17,71.71
2018-04-18,73.73
2018-04-19,74.85
2018-04-20,74.62
2018-04-23,74.54
2018-04-24,75.86
2018-04-25,73.79
2018-04-26,75.39
2018-04-27,75.33
2018-04-30,75.92
2018-05-01,74.85
2018-05-02,73.14
2018-05-03,73.45
2018-05-04,74.75
2018-05-07,74.75
2018-05-07,#N/A
2018-05-08,74.16
2018-05-09,77.60
2018-05-10,77.59
2018-05-11,77.37
2018-05-14,78.17
2018-05-15,78.94
2018-05-16,78.19
2018-05-17,80.09
2018-05-18,78.38
2018-05-21,78.34
2018-05-22,80.42
2018-05-23,78.69
2018-05-24,78.90
2018-05-25,76.60
2018-05-28,#N/A
2018-05-29,74.51
2018-05-30,75.89
2018-05-31,76.45
2018-06-01,74.54
2018-06-04,73.41
2018-06-05,72.91
2018-06-06,73.23
2018-06-07,75.23
2018-06-08,75.11
2018-06-11,74.58
2018-06-12,74.86
2018-06-13,75.07
2018-06-14,74.77
2018-06-15,72.02
2018-06-18,74.87
2018-06-19,74.92
2018-06-20,74.25
2018-06-21,72.87
2018-06-22,73.67
2018-06-25,72.82
2018-06-26,73.58
2018-06-27,76.09
2018-06-28,76.26
2018-06-29,77.44
2018-07-02,76.71
2018-07-03,75.87
2018-07-04,76.99
2018-07-05,77.09
2018-07-06,74.98
2018-07-09,77.08
2018-07-10,77.80
2018-07-11,75.35
2018-07-12,72.11
2018-07-13,74.11
2018-07-16,71.03
2018-07-17,70.87
2018-07-18,70.52
2018-07-19,71.94
2018-07-20,71.99
2018-07-23,73.45
2018-07-24,73.53
2018-07-25,73.67
2018-07-26,74.51
2018-07-27,74.84
2018-07-30,74.99
2018-07-31,74.16
2018-08-01,72.28
2018-08-02,72.95
2018-08-03,72.48
2018-08-06,72.51
2018-08-07,72.31
2018-08-08,70.71
2018-08-09,70.55
2018-08-10,71.00
2018-08-13,70.62
2018-08-14,70.77
2018-08-15,68.38
2018-08-16,69.21
2018-08-17,70.14
2018-08-20,71.11
2018-08-21,71.65
2018-08-22,72.96
2018-08-23,73.73
2018-08-24,74.41
2018-08-27,74.41
2018-08-27,#N/A
2018-08-27,74.41
2018-08-28,75.91
2018-08-29,76.07
2018-08-30,77.05
2018-08-31,76.94
2018-09-03,77.81
2018-09-04,77.51
2018-09-05,76.68
2018-09-06,75.67
2018-09-07,75.55
2018-09-10,76.77
2018-09-11,78.22
2018-09-12,80.02
2018-09-13,77.66
2018-09-14,77.87
2018-09-17,78.22
2018-09-18,79.25
2018-09-19,79.43
2018-09-20,79.03
2018-09-21,78.90
2018-09-24,80.89
2018-09-25,82.21
2018-09-26,81.87
2018-09-27,81.54
2018-09-28,82.72
2018-10-01,84.94
2018-10-02,85.63
2018-10-03,85.45
2018-10-04,86.07
2018-10-05,85.12
2018-10-08,84.22
2018-10-09,85.16
2018-10-10,83.82
2018-10-11,81.35
2018-10-12,80.71
2018-10-15,80.91
2018-10-16,80.53
2018-10-17,79.91
2018-10-18,80.30
2018-10-19,80.38
2018-10-22,80.45
2018-10-23,78.67
2018-10-24,77.34
2018-10-25,77.30
2018-10-26,77.40
2018-10-29,77.56
2018-10-30,75.68
2018-10-31,74.84
2018-11-01,71.25
2018-11-02,71.11
2018-11-05,72.68
2018-11-06,70.64
2018-11-07,70.10
2018-11-08,69.29
2018-11-09,69.01
2018-11-12,69.81
2018-11-13,65.45
2018-11-14,64.88
2018-11-15,65.61
2018-11-16,65.29
2018-11-19,64.14
2018-11-20,61.50
2018-11-21,61.65
2018-11-22,61.11
2018-11-23,57.69
2018-11-26,59.70
2018-11-27,59.58
2018-11-28,57.97
2018-11-29,58.29
2018-11-30,57.71
2018-12-03,60.17
2018-12-04,61.22
2018-12-05,61.40
2018-12-06,57.83
2018-12-07,61.71
2018-12-10,60.29
2018-12-11,59.73
2018-12-12,59.94
2018-12-13,59.03
2018-12-14,58.56
2018-12-17,57.59
2018-12-18,55.26
2018-12-19,55.60
2018-12-20,52.84
2018-12-21,51.93
2018-12-24,51.93
2018-12-24,#N/A
2018-12-25,51.93
2018-12-25,#N/A
2018-12-26,51.93
2018-12-26,#N/A
2018-12-27,51.49
2018-12-28,50.57
2018-12-31,#N/A
2019-01-01,#N/A
2019-01-02,54.06
2019-01-03,53.23
2019-01-04,55.64
2019-01-07,57.10
2019-01-08,56.91
2019-01-09,59.46
2019-01-10,60.47
2019-01-11,59.24
2019-01-14,58.80
2019-01-15,58.65
2019-01-16,59.81
2019-01-17,59.85
2019-01-18,62.04
2019-01-21,62.18
2019-01-22,60.90
2019-01-23,61.05
2019-01-24,61.09
2019-01-25,61.49
2019-01-28,59.71
2019-01-29,60.98
2019-01-30,61.89
2019-01-31,62.46
2019-02-01,61.86
2019-02-04,62.26
2019-02-05,61.67
2019-02-06,62.22
2019-02-07,61.01
2019-02-08,61.37
2019-02-11,61.30
2019-02-12,62.58
2019-02-13,63.27
2019-02-14,64.00
2019-02-15,65.65
2019-02-18,66.41
2019-02-19,65.86
2019-02-20,66.82
2019-02-21,66.91
2019-02-22,66.91
2019-02-25,64.02
2019-02-26,64.51
2019-02-27,65.55
2019-02-28,65.03
2019-03-01,63.71
2019-03-04,64.44
2019-03-05,64.24
2019-03-06,64.51
2019-03-07,64.82
2019-03-08,65.66
2019-03-11,65.06
2019-03-12,65.33
2019-03-13,65.89
2019-03-14,66.18
2019-03-15,66.11
2019-03-18,66.65
2019-03-19,67.13
2019-03-20,68.35
2019-03-21,68.30
2019-03-22,66.29
2019-03-25,67.37
2019-03-26,67.51
2019-03-27,67.35
2019-03-28,66.08
2019-03-29,67.93
2019-04-01,69.08
2019-04-02,69.68
2019-04-03,69.21
2019-04-04,69.80
2019-04-05,69.93
2019-04-08,71.12
2019-04-09,71.02
2019-04-10,71.63
2019-04-11,71.30
2019-04-12,71.57
2019-04-15,70.90
2019-04-16,70.74
2019-04-17,71.14
2019-04-18,70.71
2019-04-19,#N/A
2019-04-22,70.71
2019-04-22,#N/A
2019-04-22,70.71
2019-04-23,74.39
2019-04-24,73.59
2019-04-25,74.94
2019-04-26,71.03
2019-04-29,71.22
2019-04-30,72.19
2019-05-01,72.01
2019-05-02,70.56
2019-05-03,71.95
2019-05-06,71.95
2019-05-07,70.98
2019-05-08,71.09
2019-05-09,70.61
2019-05-10,71.63
2019-05-13,72.35
2019-05-14,72.53
2019-05-15,73.09
2019-05-16,74.70
2019-05-17,73.94
2019-05-20,73.21
2019-05-21,72.94
2019-05-22,71.94
2019-05-23,68.37
2019-05-24,67.98
2019-05-27,67.98
2019-05-27,#N/A
2019-05-28,70.19
2019-05-29,70.64
2019-05-30,69.55
2019-05-31,66.78
2019-06-03,63.16
2019-06-04,63.56
2019-06-05,62.14
2019-06-06,62.77
2019-06-07,64.10
2019-06-10,64.31
2019-06-11,63.56
2019-06-12,61.66
2019-06-13,63.28
2019-06-14,63.13
2019-06-17,62.56
2019-06-18,63.35
2019-06-19,62.85
2019-06-20,65.44
2019-06-21,65.99
2019-06-24,65.16
2019-06-25,66.24
2019-06-26,66.85
2019-06-27,66.78
2019-06-28,67.52
2019-07-01,65.10
2019-07-02,62.72
2019-07-03,63.53
2019-07-04,63.62
2019-07-05,64.23
2019-07-08,64.89
2019-07-09,64.30
2019-07-10,66.41
2019-07-11,67.64
2019-07-12,66.65
2019-07-15,66.86
2019-07-16,65.87
2019-07-17,63.67
2019-07-18,60.70
2019-07-19,61.04
2019-07-22,61.96
2019-07-23,62.28
2019-07-24,63.83
2019-07-25,63.47
2019-07-26,62.46
2019-07-29,62.29
2019-07-30,62.55
2019-07-31,64.07
2019-08-01,62.90
2019-08-02,61.12
2019-08-05,59.32
2019-08-06,58.63
2019-08-07,55.03
2019-08-08,56.29
2019-08-09,57.37
2019-08-12,57.13
2019-08-13,59.90
2019-08-14,57.86
2019-08-15,57.37
2019-08-16,59.00
2019-08-19,59.79
2019-08-20,59.03
2019-08-21,60.60
2019-08-22,59.81
2019-08-23,58.64
2019-08-26,58.64
2019-08-27,58.44
2019-08-28,60.42
2019-08-29,60.59
2019-08-30,61.04
2019-09-02,58.55
2019-09-03,57.93
2019-09-04,60.68
2019-09-05,62.70
2019-09-06,61.28
2019-09-09,63.99
2019-09-10,64.67
2019-09-11,63.02
2019-09-12,60.76
2019-09-13,61.25
2019-09-16,68.42
2019-09-17,65.59
2019-09-18,64.29
2019-09-19,64.25
2019-09-20,65.23
2019-09-23,64.66
2019-09-24,64.13
2019-09-25,62.41
2019-09-26,62.08
2019-09-27,62.48
2019-09-30,60.99
2019-10-01,60.06
2019-10-02,57.92
2019-10-03,58.01
2019-10-04,59.13
2019-10-07,59.46
2019-10-08,58.14
2019-10-09,59.70
2019-10-10,59.08
2019-10-11,60.59
2019-10-14,58.81
2019-10-15,59.19
2019-10-16,59.30
2019-10-17,59.35
2019-10-18,59.96
2019-10-21,58.95
2019-10-22,60.50
2019-10-23,60.52
2019-10-24,61.71
2019-10-25,62.06
2019-10-28,60.39
2019-10-29,61.05
2019-10-30,60.22
2019-10-31,59.30
2019-11-01,60.17
2019-11-04,62.52
2019-11-05,62.72
2019-11-06,62.11
2019-11-07,62.60
2019-11-08,62.00
2019-11-11,62.58
2019-11-12,62.19
2019-11-13,62.27
2019-11-14,62.46
2019-11-15,63.32
2019-11-18,62.82
2019-11-19,62.37
2019-11-20,63.80
2019-11-21,64.99
2019-11-22,64.83
2019-11-25,64.67
2019-11-26,64.82
2019-11-27,65.03
2019-11-28,64.68
2019-11-29,64.50
2019-12-02,63.20
2019-12-03,62.95
2019-12-04,65.25
2019-12-05,65.67
2019-12-06,66.50
2019-12-09,66.44
2019-12-10,66.57
2019-12-11,65.37
2019-12-12,66.67
2019-12-13,67.44
2019-12-16,68.04
2019-12-17,68.99
2019-12-18,69.12
2019-12-19,69.70
2019-12-20,68.66
2019-12-23,67.49
2019-12-24,69.26
2019-12-25,#N/A
2019-12-25,69.26
2019-12-25,#N/A
2019-12-26,69.26
2019-12-26,#N/A
2019-12-26,69.26
2019-12-27,68.91
2019-12-30,68.30
2019-12-31,67.77
2020-01-01,#N/A
2020-01-01,67.77
2020-01-01,#N/A
2020-01-02,67.05
2020-01-03,69.08
2020-01-06,70.25
2020-01-07,68.74
2020-01-08,67.31
2020-01-09,66.58
2020-01-10,66.77
2020-01-13,64.14
2020-01-14,64.45
2020-01-15,63.29
2020-01-16,64.63
2020-01-17,64.05
2020-01-20,64.63
2020-01-21,63.66
2020-01-22,62.11
2020-01-23,61.26
2020-01-24,59.34
2020-01-27,58.54
2020-01-28,59.37
2020-01-29,59.46
2020-01-30,57.72
2020-01-31,57.77
2020-02-03,54.00
2020-02-04,53.90
2020-02-05,55.36
2020-02-06,55.18
2020-02-07,54.53
2020-02-10,53.39
2020-02-11,54.00
2020-02-12,55.54
2020-02-13,56.34
2020-02-14,57.37
2020-02-17,57.83
2020-02-18,57.35
2020-02-19,59.72
2020-02-20,59.72
2020-02-20,59.57
2020-02-21,58.60
2020-02-24,56.04
2020-02-24,56.71
2020-02-25,56.71
2020-02-25,55.29
2020-02-26,54.96
2020-02-27,52.19
2020-02-28,51.31
2020-03-02,52.52
2020-03-03,52.24
2020-03-04,51.86
2020-03-05,51.29
2020-03-06,45.60
2020-03-09,35.33
2020-03-10,36.66
2020-03-10,35.57
2020-03-11,34.45
2020-03-12,31.05
2020-03-12,31.02
2020-03-13,33.00
2020-03-13,32.25
2020-03-16,28.04
2020-03-16,27.98
2020-03-17,#N/A
2020-03-17,27.97
2020-03-18,26.93
2020-03-18,22.79
2020-03-19,23.30
2020-03-19,23.98
2020-03-20,25.40
2020-03-20,25.55
2020-03-23,25.06
2020-03-23,21.85
2020-03-23,23.75
2020-03-24,24.50
2020-03-25,25.62
2020-03-26,23.55
2020-03-27,22.39
2020-03-30,19.07
2020-03-30,19.19
2020-03-31,19.19
2020-03-31,14.85
2020-04-01,14.97
2020-04-02,20.24
2020-04-03,24.33
2020-04-06,22.58
2020-04-07,22.10
2020-04-08,25.22
2020-04-09,20.23
2020-04-10,#N/A
2020-04-13,20.23
2020-04-13,#N/A
2020-04-14,21.74
2020-04-15,19.80
2020-04-16,18.69
2020-04-17,19.75
2020-04-20,17.36
2020-04-21,9.12
2020-04-22,13.77
2020-04-23,15.06
2020-04-24,15.87
2020-04-27,15.17
2020-04-28,15.60
2020-04-29,17.86
2020-04-30,18.11
2020-05-01,18.49
2020-05-04,20.40
2020-05-05,25.46
2020-05-06,24.20
2020-05-07,24.23
2020-05-08,#N/A
2020-05-11,25.53
2020-05-12,26.67
2020-05-13,27.89
2020-05-14,29.87
2020-05-15,30.95
2020-05-18,33.30
2020-05-19,33.06
2020-05-20,34.76
2020-05-21,34.78
2020-05-22,33.80
2020-05-25,33.80
2020-05-25,#N/A
2020-05-26,33.95
2020-05-27,32.73
2020-05-28,33.98
2020-05-29,34.15
2020-06-01,36.74
2020-06-02,37.72
2020-06-03,37.98
2020-06-04,38.41
2020-06-05,41.00
2020-06-08,39.66
2020-06-09,40.45
2020-06-10,41.18
2020-06-11,37.76
2020-06-12,38.54
2020-06-15,39.44
2020-06-16,40.75
2020-06-17,40.47
2020-06-18,41.75
2020-06-19,42.33
2020-06-22,43.20
2020-06-23,42.72
2020-06-24,40.40
2020-06-25,41.18
2020-06-26,40.97
2020-06-29,41.58
2020-06-30,41.64
2020-07-01,42.18
2020-07-02,43.19
2020-07-03,42.92
2020-07-06,42.73
2020-07-07,43.28
2020-07-08,43.67
2020-07-09,42.35
2020-07-10,43.27
2020-07-13,42.85
2020-07-14,42.97
2020-07-15,43.96
2020-07-16,43.71
2020-07-17,43.53
2020-07-20,43.30
2020-07-21,44.31
2020-07-22,43.98
2020-07-23,42.96
2020-07-24,43.29
2020-07-27,43.39
2020-07-28,43.11
2020-07-29,43.51
2020-07-30,42.98
2020-07-31,43.13
2020-08-03,43.76
2020-08-04,43.99
2020-08-05,44.92
2020-08-06,45.04
2020-08-07,44.07
2020-08-10,44.19
2020-08-11,43.68
2020-08-12,45.09
2020-08-13,44.87
2020-08-14,44.86
2020-08-17,44.91
2020-08-18,45.34
2020-08-19,45.21
2020-08-20,44.56
2020-08-21,43.94
2020-08-24,44.43
2020-08-25,46.01
2020-08-26,45.79
2020-08-27,44.84
2020-08-28,45.22
2020-08-31,#N/A
2020-09-01,45.72
2020-09-02,42.70
2020-09-03,42.72
2020-09-04,41.10
2020-09-07,40.67
2020-09-08,38.53
2020-09-09,39.98
2020-09-10,39.27
2020-09-11,38.80
2020-09-14,38.57
2020-09-15,39.54
2020-09-16,41.23
2020-09-17,42.35
2020-09-18,42.16
2020-09-21,40.37
2020-09-22,40.84
2020-09-23,41.09
2020-09-24,41.24
2020-09-25,40.91
2020-09-28,41.59
2020-09-29,40.33
2020-09-30,40.30
2020-10-01,39.75
2020-10-02,38.00
2020-10-05,39.78
2020-10-06,41.27
2020-10-07,40.62
2020-10-08,42.00
2020-10-09,41.63
2020-10-12,40.50
2020-10-13,41.34
2020-10-14,41.81
2020-10-15,41.61
2020-10-16,41.34
2020-10-19,41.29
2020-10-20,41.62
2020-10-21,40.09
2020-10-22,41.28
2020-10-23,40.71
2020-10-26,39.06
2020-10-27,39.72
2020-10-28,37.86
2020-10-29,36.56
2020-10-30,36.33
2020-11-02,37.78
2020-11-03,38.17
2020-11-04,39.68
2020-11-05,39.47
2020-11-06,38.08
2020-11-09,40.93
2020-11-10,42.25
2020-11-11,42.50
2020-11-12,42.16
2020-11-13,41.51
2020-11-16,42.71
2020-11-17,42.54
2020-11-18,42.91
2020-11-19,43.09
2020-11-20,43.79
2020-11-23,45.00
2020-11-24,46.63
2020-11-25,47.30
2020-11-26,46.32
2020-11-27,46.88
2020-11-30,46.84
2020-12-01,47.03
2020-12-02,47.80
2020-12-03,48.37
2020-12-04,49.10
2020-12-07,48.63
2020-12-08,48.84
2020-12-09,48.81
2020-12-10,50.33
2020-12-11,50.01
2020-12-14,50.27
2020-12-15,50.77
2020-12-16,50.83
2020-12-17,51.20
2020-12-18,52.17
2020-12-21,50.61
2020-12-22,49.88
2020-12-23,51.05
2020-12-24,50.88
2020-12-25,#N/A
2020-12-28,50.88
2020-12-29,50.44
2020-12-30,50.74
2020-12-31,51.22
2021-01-01,#N/A
2021-01-04,50.37
2021-01-05,53.16
2021-01-06,53.80
2021-01-07,53.70
2021-01-08,55.51
2021-01-11,54.84
2021-01-12,55.98
2021-01-13,55.52
2021-01-14,55.76
2021-01-15,54.80
2021-01-18,54.21
2021-01-19,55.38
2021-01-20,55.66
2021-01-21,55.68
2021-01-22,55.22
2021-01-25,55.44
2021-01-26,55.26
2021-01-27,55.07
2021-01-28,54.87
2021-01-29,55.25
2021-02-01,56.42
2021-02-02,57.62
2021-02-03,58.61
2021-02-04,58.98
2021-02-05,59.48
2021-02-08,60.17
2021-02-09,60.74
2021-02-10,61.17
2021-02-11,61.09
2021-02-12,62.47
2021-02-15,63.58
2021-02-16,63.96
2021-02-17,65.02
2021-02-18,64.09
2021-02-19,62.84
2021-02-22,64.73
2021-02-23,65.16
2021-02-24,66.85
2021-02-25,66.69
2021-02-26,65.86
2021-03-01,64.56
2021-03-02,63.17
2021-03-03,64.70
2021-03-04,67.32
2021-03-05,69.95
2021-03-08,68.00
2021-03-09,67.03
2021-03-10,67.53
2021-03-11,69.34
2021-03-12,68.87
2021-03-15,68.78
2021-03-16,67.95
2021-03-17,67.73
2021-03-18,62.11
2021-03-19,64.00
2021-03-22,63.89
2021-03-23,59.96
2021-03-24,63.70
2021-03-25,61.21
2021-03-26,63.77
2021-03-29,64.06
2021-03-30,63.28
2021-03-31,63.52
2021-04-01,63.85
2021-04-02,#N/A
2021-04-05,63.85
2021-04-05,#N/A
2021-04-06,61.47
2021-04-07,61.86
2021-04-08,62.09
2021-04-09,61.89
2021-04-12,62.38
2021-04-13,62.83
2021-04-14,66.11
2021-04-15,66.13
2021-04-16,65.98
2021-04-19,66.54
2021-04-20,65.34
2021-04-21,64.02
2021-04-22,65.07
2021-04-23,65.75
2021-04-26,65.50
2021-04-27,66.25
2021-04-28,67.08
2021-04-29,68.26
2021-04-30,67.73
2021-05-03,67.73
2021-05-03,#N/A
2021-05-04,68.91
2021-05-05,69.71
2021-05-06,68.62
2021-05-07,68.73
2021-05-10,68.61
2021-05-11,68.83
2021-05-12,69.62
2021-05-13,67.36
2021-05-14,69.24
2021-05-17,69.62
2021-05-18,69.01
2021-05-19,66.88
2021-05-20,65.18
2021-05-21,66.72
2021-05-24,68.59
2021-05-25,68.80
2021-05-26,68.93
2021-05-27,69.43
2021-05-28,69.36
2021-05-31,#N/A
2021-06-01,70.03
2021-06-02,70.60
2021-06-03,70.71
2021-06-04,71.30
2021-06-07,70.89
2021-06-08,71.39
2021-06-09,71.31
2021-06-10,71.65
2021-06-11,72.05
2021-06-14,72.27
2021-06-15,73.38
2021-06-16,73.88
2021-06-17,72.92
2021-06-18,73.10
2021-06-21,74.49
2021-06-22,74.92
2021-06-23,75.22
2021-06-24,75.95
2021-06-25,76.45
2021-06-28,74.78
2021-06-29,75.38
2021-06-30,76.94
2021-07-01,76.69
2021-07-02,77.51
2021-07-05,78.34
2021-07-06,75.81
2021-07-07,74.31
2021-07-08,75.07
2021-07-09,77.14
2021-07-12,76.77
2021-07-13,77.50
2021-07-14,75.74
2021-07-15,74.53
2021-07-16,74.46
2021-07-19,69.33
2021-07-20,70.03
2021-07-21,72.54
2021-07-22,74.25
2021-07-23,74.86
2021-07-26,74.79
2021-07-27,74.87
2021-07-28,75.09
2021-07-29,76.30
2021-07-30,77.72
2021-08-02,73.91
2021-08-03,73.24
2021-08-04,70.99
2021-08-05,72.14
2021-08-06,71.02
2021-08-09,69.65
2021-08-10,71.14
2021-08-11,71.99
2021-08-12,71.79
2021-08-13,70.90
2021-08-16,70.07
2021-08-17,69.40
2021-08-18,68.61
2021-08-19,66.80
2021-08-20,65.51
2021-08-23,69.07
2021-08-24,71.21
2021-08-25,72.12
2021-08-26,70.42
2021-08-27,72.26
2021-08-30,#N/A
2021-08-31,73.45
2021-09-01,71.99
2021-09-02,73.56
2021-09-03,73.07
2021-09-06,72.45
2021-09-06,72.43
2021-09-07,71.52
2021-09-08,72.36
2021-09-09,71.32
2021-09-10,72.44
2021-09-13,72.97
2021-09-14,73.05
2021-09-15,74.84
2021-09-16,75.14
2021-09-17,74.64
2021-09-20,73.59
2021-09-21,73.65
2021-09-22,75.50
2021-09-23,76.44
2021-09-24,77.42
2021-09-27,76.44
2021-09-27,78.85
2021-09-28,78.30
2021-09-29,77.86
2021-09-30,77.81
2021-10-01,79.40
2021-10-04,81.44
2021-10-05,82.72
2021-10-06,81.39
2021-10-07,82.34
2021-10-08,82.17
2021-10-11,83.75
2021-10-12,83.53
2021-10-13,83.53
2021-10-14,83.86
2021-10-15,84.67
2021-10-18,84.13
2021-10-19,85.02
2021-10-20,85.76
2021-10-21,84.58
2021-10-22,85.43
2021-10-25,84.85
2021-10-26,85.11
2021-10-27,84.12
2021-10-28,83.40
2021-10-29,83.10
2021-11-01,84.51
2021-11-02,84.42
2021-11-03,81.10
2021-11-04,80.15
2021-11-05,82.43
2021-11-08,83.22
2021-11-09,84.52
2021-11-10,82.91
2021-11-11,83.40
2021-11-12,82.90
2021-11-15,81.94
2021-11-16,82.85
2021-11-17,80.67
2021-11-18,82.45
2021-11-19,80.24
2021-11-22,80.97
2021-11-23,83.43
2021-11-24,82.37
2021-11-25,82.05
2021-11-26,72.37
2021-11-29,73.34
2021-11-30,70.86
2021-12-01,69.53
2021-12-02,70.56
2021-12-03,70.71
2021-12-06,73.38
2021-12-07,75.54
2021-12-08,75.94
2021-12-09,74.10
2021-12-10,74.98
2021-12-13,74.12
2021-12-14,73.37
2021-12-15,73.71
2021-12-16,74.64
2021-12-17,72.97
2021-12-20,70.51
2021-12-21,72.85
2021-12-22,74.69
2021-12-23,76.26
2021-12-24,75.24
2021-12-27,75.24
2021-12-27,#N/A
2021-12-28,#N/A
2021-12-29,78.63
2021-12-30,78.61
2021-12-31,77.24
2022-01-03,78.25
2022-01-04,79.39
2022-01-05,80.60
2022-01-06,81.99
2022-01-07,82.28
2022-01-10,81.56
2022-01-11,84.98
2022-01-12,85.83
2022-01-13,85.80
2022-01-14,87.17
2022-01-17,87.82
2022-01-18,88.83
2022-01-19,89.64
2022-01-20,89.75
2022-01-21,89.75
2022-01-24,87.74
2022-01-25,89.49
2022-01-26,91.22
2022-01-27,90.70
2022-01-28,91.47
2022-01-31,92.35
2022-02-01,90.24
2022-02-02,91.43
2022-02-03,92.99
2022-02-04,96.86
2022-02-07,97.28
2022-02-08,96.07
2022-02-09,94.95
2022-02-10,96.37
2022-02-11,97.50
2022-02-14,101.66
2022-02-15,98.43
2022-02-16,97.44
2022-02-17,95.28
2022-02-18,96.18
2022-02-21,98.95
2022-02-22,98.73
2022-02-23,99.29
2022-02-24,101.29
2022-02-25,98.56
2022-02-28,103.08
